,hit,corr,containment,score,rerank_score
125,CHIT1,-0.28807,1.0,63.0,126.0
126,CXCL14,0.541653,1.0,63.0,127.0
127,DOCK8,-0.32538,1.0,63.0,128.0
128,DPEP1,0.39842,1.0,63.0,129.0
129,EHBP1L1,-0.279436,1.0,63.0,130.0
130,EPHB3,0.208593,1.0,63.0,131.0
131,FMNL1,-0.319049,1.0,63.0,132.0
132,FNDC3A,0.502083,1.0,63.0,133.0
133,FXR2,0.237801,1.0,63.0,134.0
134,HOMER2,0.328828,1.0,63.0,135.0
135,HSPA2,0.334372,1.0,63.0,136.0
136,IGF2R,0.361776,1.0,63.0,137.0
137,LRRC41,0.235819,1.0,63.0,138.0
138,MMP11,0.226176,1.0,63.0,139.0
139,MSX2,0.536115,0.923666,63.0,140.0
140,NCK1,-0.430287,1.0,63.0,141.0
141,NFKBIE,-0.298645,1.0,63.0,142.0
142,P4HB,0.307708,1.0,63.0,143.0
143,PDIA3,0.332535,1.0,63.0,144.0
144,PLPP2,0.416809,1.0,63.0,145.0
145,PPIB,0.45793,1.0,63.0,146.0
146,PPP1R3D,-0.224061,1.0,63.0,147.0
147,PRKCD,-0.436271,1.0,63.0,148.0
148,PSD4,-0.267301,1.0,63.0,149.0
149,PTP4A2,-0.172441,1.0,63.0,150.0
150,PTPN7,-0.247663,1.0,63.0,151.0
151,RBP1,0.422833,1.0,63.0,152.0
152,RDX,-0.342072,1.0,63.0,153.0
153,SEMA4C,0.451693,1.0,63.0,154.0
154,SH3GLB1,0.310508,1.0,63.0,155.0
155,SIK3,-0.222167,1.0,63.0,156.0
156,SIL1,0.279305,1.0,63.0,157.0
157,SIPA1L2,0.284636,1.0,63.0,158.0
158,SLC3A2,0.268954,1.0,63.0,159.0
159,SLC7A1,0.395073,1.0,63.0,160.0
160,SLCO2A1,0.460026,1.0,63.0,161.0
161,SMYD2,0.270918,1.0,63.0,162.0
162,SNUPN,-0.33516,1.0,63.0,163.0
163,TCF20,0.340706,1.0,63.0,164.0
164,UBE2E1,-0.343707,1.0,63.0,165.0
165,ACO1,-0.315982,1.0,62.0,166.0
166,ADAM28,0.369809,1.0,62.0,167.0
167,ALDH3A1,0.207398,1.0,62.0,168.0
168,ANKRD13A,-0.386065,1.0,62.0,169.0
169,ANKRD44,-0.335625,1.0,62.0,170.0
